"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2004"	"2004"	"New Mexico"	"35"	744	1903808	39.1
	"2004"	"2004"	"New York"	"36"	5213	19171567	27.2
	"2004"	"2004"	"North Carolina"	"37"	3149	8553152	36.8
	"2004"	"2004"	"North Dakota"	"38"	277	644705	43.0
	"2004"	"2004"	"Ohio"	"39"	5105	11452251	44.6
	"2004"	"2004"	"Oklahoma"	"40"	1478	3525233	41.9
	"2004"	"2004"	"Oregon"	"41"	1383	3569463	38.7
	"2004"	"2004"	"Pennsylvania"	"42"	4962	12410722	40.0
	"2004"	"2004"	"Rhode Island"	"44"	384	1074579	35.7
	"2004"	"2004"	"South Carolina"	"45"	1585	4210921	37.6
	"2004"	"2004"	"South Dakota"	"46"	293	770396	38.0
	"2004"	"2004"	"Tennessee"	"47"	2640	5910809	44.7
	"2004"	"2004"	"Texas"	"48"	7266	22394023	32.4
	"2004"	"2004"	"Utah"	"49"	672	2401580	28.0
	"2004"	"2004"	"Vermont"	"50"	225	619920	36.3
	"2004"	"2004"	"Virginia"	"51"	2292	7475575	30.7
	"2004"	"2004"	"Washington"	"53"	2080	6178645	33.7
	"2004"	"2004"	"West Virginia"	"54"	1128	1816438	62.1
	"2004"	"2004"	"Wisconsin"	"55"	1779	5514026	32.3
	"2004"	"2004"	"Wyoming"	"56"	169	509106	33.2
"Total"	"2004"	"2004"			99042	292805298	33.8
	"2005"	"2005"	"Alabama"	"01"	1941	4569805	42.5
	"2005"	"2005"	"Alaska"	"02"	114	666946	17.1
	"2005"	"2005"	"Arizona"	"04"	1620	5839077	27.7
	"2005"	"2005"	"Arkansas"	"05"	1130	2781097	40.6
	"2005"	"2005"	"California"	"06"	9848	35827943	27.5
	"2005"	"2005"	"Colorado"	"08"	1102	4631888	23.8
	"2005"	"2005"	"Connecticut"	"09"	1160	3506956	33.1
	"2005"	"2005"	"Delaware"	"10"	377	845150	44.6
	"2005"	"2005"	"District of Columbia"	"11"	239	567136	42.1
	"2005"	"2005"	"Florida"	"12"	7079	17842038	39.7
	"2005"	"2005"	"Georgia"	"13"	2459	8925922	27.5
	"2005"	"2005"	"Hawaii"	"15"	317	1292729	24.5
	"2005"	"2005"	"Idaho"	"16"	435	1428241	30.5
	"2005"	"2005"	"Illinois"	"17"	4093	12609903	32.5
	"2005"	"2005"	"Indiana"	"18"	2384	6278616	38.0
	"2005"	"2005"	"Iowa"	"19"	1030	2964454	34.7
	"2005"	"2005"	"Kansas"	"20"	1014	2745299	36.9
	"2005"	"2005"	"Kentucky"	"21"	1632	4182742	39.0
	"2005"	"2005"	"Louisiana"	"22"	2171	4576628	47.4
	"2005"	"2005"	"Maine"	"23"	592	1318787	44.9
	"2005"	"2005"	"Maryland"	"24"	1938	5592379	34.7
	"2005"	"2005"	"Massachusetts"	"25"	1807	6403290	28.2
	"2005"	"2005"	"Michigan"	"26"	3900	10051137	38.8
	"2005"	"2005"	"Minnesota"	"27"	1654	5119598	32.3
	"2005"	"2005"	"Mississippi"	"28"	952	2905943	32.8
	"2005"	"2005"	"Missouri"	"29"	2150	5790300	37.1
	"2005"	"2005"	"Montana"	"30"	391	940102	41.6
